ISO-10303-21	\ST
SHELL_BASED_SURFACE_MODEL	\SB
EDGE_BASED_WIREFRAME_MODEL	\EW
MANIFOLD_SOLID_BREP	\MB
STYLED_ITEM	\SI
OVER_RIDING_STYLED_ITEM	\OV
PRESENTATION_LAYER_ASSIGNMENT	\LA
PRESENTATION_STYLE_ASSIGNMENT	\PS
MECHANICAL_DESIGN_GEOMETRIC_PRESENTATION_REPRESENTATION	\MD
DRAUGHTING_MODEL	\DM
ANNOTATION_OCCURRENCE	\AO
DRAUGHTING_ANNOTATION_OCCURRENCE	\DO
GEOMETRIC_CURVE_SET	\GS
GEOMETRIC_SET	\GT
CURVE_STYLE	\CV
CURVE_STYLE_FONT	\CW
POINT_STYLE	\PT
SURFACE_STYLE_USAGE	\SU
SURFACE_STYLE_FILL_AREA	\SF
SURFACE_SIDE_STYLE	\SS
SURFACE_STYLE_BOUNDARY	\SW
SURFACE_STYLE_PARAMETER_LINE	\SY
SURFACE_STYLE_REFLECTANCE_AMBIENT	\SQ
SURFACE_STYLE_RENDERING	\SG
SURFACE_STYLE_SEGMENTATION_CURVE	\AA
SURFACE_STYLE_SILHOUETTE	\AD
SURFACE_STYLE_TRANSPARENT	\AE
FILL_AREA_STYLE	\FA
FILL_AREA_STYLE_COLOUR	\FC
FILL_AREA_STYLE_HATCHING	\FH
FILL_AREA_STYLE_TILES	\FT
COLOUR_RGB	\CR
COLOUR_SPECIFICATION	\CQ
DRAUGHTING_PRE_DEFINED_COLOUR	\DC
PRE_DEFINED_COLOUR	\XC
PRE_DEFINED_SURFACE_SIDE_STYLE	\XS
PRE_DEFINED_CURVE_FONT	\XF
LENGTH_UNIT	\LU
PLANE_ANGLE_UNIT	\PA
SI_UNIT	\SX
NAMED_UNIT	\NU
SOLID_ANGLE_UNIT	\SA
CONVERSION_BASED_UNIT	\CB
DIMENSIONAL_EXPONENTS	\DE
LENGTH_MEASURE	\LE
LENGTH_MEASURE_WITH_UNIT	\LM
UNCERTAINTY_MEASURE_WITH_UNIT	\UM
MILLI	\MI
METRE	\ME
RADIAN	\RA
STERADIAN	\SR
NUL	\NL
ANY	\AN
TRUE	\TR
FALSE	\FL
.NOT_KNOWN.	\NK
DIMENSIONAL_CHARACTERISTIC_REPRESENTATION	\DR
GEOMETRIC_TOLERANCE	\GE
GEOMETRIC_TOLERANCE_WITH_DATUM_REFERENCE	\GD
DATUM	\DT
DATUM_FEATURE	\DF
DATUM_REFERENCE	\DX
TOLERANCE_VALUE	\TV
PLUS_MINUS_TOLERANCE	\PM
LIMITS_AND_FITS	\LF
PROPERTY_DEFINITION	\PD
PROPERTY_DEFINITION_REPRESENTATION	\PH
VALUE_REPRESENTATION_ITEM	\VR
DESCRIPTIVE_REPRESENTATION_ITEM	\DD
MEASURE_REPRESENTATION_ITEM	\MR
COORDINATED_UNIVERSAL_TIME_OFFSET	\CU
LOCAL_TIME	\LT
DATE_AND_TIME	\DW
DATE_AND_TIME_ASSIGNMENT	\DV
PERSON	\PE
ORGANIZATION	\OR
PERSON_AND_ORGANIZATION	\OG
PERSON_AND_ORGANIZATION_ROLE	\OH
SECURITY_CLASSIFICATION	\XE
SECURITY_CLASSIFICATION_LEVEL	\XL
APPROVAL	\AV
APPROVAL_STATUS	\AW
APPROVAL_ROLE	\AR
CC_DESIGN_APPROVAL	\XA
CC_DESIGN_DATE_AND_TIME_ASSIGNMENT	\XD
CC_DESIGN_PERSON_AND_ORGANIZATION_ROLE	\XP
CONTRACT	\KT
